ID,T1,Year,D1,D2,D3,D4,D5,D6,D7
144,shabani2021haptic,2021,13,14,4,3,3,1,9
145,daunizeau2021phononic,2021,3,1,4,1,5,2,9
146,abe2021remote,2021,3,1,4,1,1,1,9
147,bhatia2021soma,2021,13,14,4,3,3,1,9
147,bhatia2021soma,2021,13,14,5,3,3,1,9
148,kawazoe2021tactile,2021,13,21,4,3,3,1,9
149,feick2021visuo,2021,11,10,1,1,6,1,9
150,hachisu2014vacuumtouch,2014,13,4,5,1,5,1,9
151,doucette2013effects,2013,13,14,4,3,5,1,9
152,hoggan2012pressages,2012,13,14,4,1,5,4,9
153,tam2013design,2013,13,14,4,3,5,1,9
154,park2013roles,2013,13,14,2,1,5,1,9
155,monnai2014haptomime,2014,13,14,5,1,1,1,9
156,nakagawa2012mimictile,2012,13,21,1,1,5,2,10
157,lee2012funneling,2012,13,14,4,1,5,1,10
158,prasad2014haptimoto,2014,13,14,4,3,3,1,1
159,mullenbach2014exploring,2014,3,1,4,1,5,1,1
160,heo2019pseudobend,2019,10,10,4,2,5,1,9
